Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
Sparebanken Øst,6.44,2990.0,75.0,1250.0,80.0,30,18,100
SpareBank 1 Østlande...,5.39,2200.0,60.0,1000.0,75.0,30,18,100
Sparebanken Øst,5.48,0.0,75.0,1250.0,80.0,30,18,100
SpareBank 1 Hallingd...,5.7,0,70.0,750.0,50.0,25,18,100
SpareBank 1 Hallingd...,5.6,0,70.0,750.0,85.0,30,18,100
INSTABANK ASA,8.1,0,50.0,0.0,90.0,30,23,100
SpareBank 1 Østlande...,5.39,2200.0,60.0,1000.0,75.0,30,18,100
SpareBank 1 Østlande...,5.44,2200.0,60.0,1000.0,75.0,15,18,100
SpareBank 1 Østlande...,5.9,2200.0,0.0,1000.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.45,0,70.0,750.0,85.0,30,18,100
Trøgstad Sparebank,5.99,4000.0,75.0,1500.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.8,0,75.0,750.0,50.0,10,18,100
Oslofjord Sparebank,6.1,3000.0,75.0,0.0,75.0,30,18,100
SpareBank 1 Østfold ...,5.24,3000.0,60.0,0.0,90.0,30,18,33
Askim og Spydeberg S...,6.2,2500.0,50.0,1000.0,85.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
SpareBank 1 Østlande...,5.49,2300.0,60.0,1000.0,75.0,15,18,100
SpareBank 1 Hallingd...,6.0,0,75.0,750.0,60.0,10,18,100
KLP Banken AS,5.05,2750.0,55.0,0,85.0,30,18,100
KLP Banken AS,5.0,2750.0,55.0,0,85.0,30,18,100
KLP Banken AS,4.9,2000.0,35.0,0,85.0,30,18,100
Odal Sparebank,5.9,2500.0,70.0,750.0,55.0,30,18,100
KLP Banken AS,5.1,2750.0,55.0,0,85.0,30,18,100
Kvinesdal Sparebank,5.9,2500.0,50.0,500.0,75.0,25,18,33
Fana Sparebank,4.95,1500.0,50.0,500.0,75.0,30,18,100
KLP Banken AS,5.0,2000.0,35.0,0,85.0,30,18,100
Høland og Setskog Sp...,4.85,0.0,75.0,0.0,40.0,25,60,100
SpareBank 1 Hallingd...,5.6,0,70.0,750.0,50.0,30,18,100
Fana Sparebank,4.9,1500.0,50.0,500.0,75.0,30,18,100
KLP Banken AS,4.95,2000.0,35.0,0,85.0,30,18,100
Høland og Setskog Sp...,5.1,0.0,75.0,0.0,85.0,25,18,100
SpareBank 1 Hallingd...,5.35,0,70.0,750.0,85.0,25,18,100
Høland og Setskog Sp...,5.2,3500.0,75.0,0.0,90.0,30,18,100
Skandinaviska Enskil...,6.04,2500.0,100.0,0,60.0,30,18,100
Fana Sparebank,4.99,1500.0,50.0,500.0,75.0,30,18,100
SpareBank 1 Hallingd...,5.35,0,70.0,750.0,85.0,30,18,100
Grue Sparebank,5.39,3000.0,50.0,0.0,85.0,30,18,100
Orkla Sparebank,5.55,2000.0,60.0,1000.0,75.0,30,18,100
Odal Sparebank,6.0,2500.0,0.0,750.0,60.0,15,18,100
Kassa - Boliglån fra...,6.02,0.0,0.0,0.0,85.0,30,18,90
Kassa - Boliglån fra...,5.22,0.0,0.0,0.0,60.0,30,18,90
Berg Sparebank,6.14,3000.0,50.0,1000.0,90.0,30,18,100
Kassa - Boliglån fra...,5.42,0.0,0.0,0.0,75.0,30,18,90
SpareBank 1 Hallingd...,5.4,0,70.0,750.0,85.0,30,18,33
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
Kvinesdal Sparebank,6.25,2500.0,50.0,500.0,60.0,25,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
SpareBank 1 Hallingd...,5.9,0,70.0,750.0,75.0,30,34,100
Berg Sparebank,5.94,3000.0,50.0,1000.0,75.0,30,18,99
Kvinesdal Sparebank,5.74,2500.0,50.0,500.0,75.0,25,18,33
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,75.0,30,34,100
Rørosbanken Røros Sp...,6.5,1950.0,50.0,0.0,75.0,30,18,100
Etnedal Sparebank,5.4,2000.0,50.0,750.0,85.0,25,18,100
Rørosbanken Røros Sp...,6.5,1950.0,50.0,0.0,75.0,30,18,100
Sparebanken Vest,5.69,3590.0,69.0,0.0,85.0,30,18,33
Flekkefjord Spareban...,8.85,3000.0,0.0,750.0,75.0,1,18,100
Etnedal Sparebank,5.2,2000.0,50.0,750.0,85.0,25,18,33
SpareBank 1 Ringerik...,5.6,2000.0,50.0,1000.0,50.0,25,18,100
Rørosbanken Røros Sp...,6.7,2950.0,65.0,0,60.0,30,18,100
Etnedal Sparebank,5.5,2000.0,50.0,750.0,85.0,25,18,33
Sparebanken Narvik,5.49,2000.0,35.0,0.0,75.0,30,18,100
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,75.0,30,34,100
Rørosbanken Røros Sp...,6.7,2950.0,65.0,0,75.0,30,18,100
JBF Bank og Forsikri...,5.59,3200.0,65.0,1000.0,90.0,30,18,33
OBOS-banken AS,8.48,5000.0,35.0,0,90.0,3,18,100
OBOS-banken AS,8.33,5000.0,35.0,0,90.0,3,18,100
Skudenes & Aakra Spa...,7.04,0,60.0,750.0,75.0,25,18,100
Romerike Sparebank,6.6,3500.0,75.0,0.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.35,0,70.0,750.0,85.0,30,18,100
Skagerrak Sparebank,5.3,0.0,60.0,0.0,85.0,30,18,100
Sparebanken Møre,5.99,2500.0,75.0,1000.0,60.0,30,18,100
Luster Sparebank,5.29,0,60.0,750.0,85.0,30,18,100
SpareBank 1 Helgelan...,5.74,3000.0,75.0,0.0,60.0,30,30,100
Skudenes & Aakra Spa...,6.64,0,60.0,750.0,75.0,25,18,100
Luster Sparebank,5.74,0,60.0,750.0,85.0,30,18,33
Jæren Sparebank,5.54,0,70.0,0.0,90.0,30,18,33
Luster Sparebank,7.1,0,60.0,750.0,85.0,30,18,100
Jæren Sparebank,5.84,0,70.0,0.0,90.0,30,18,33
SpareBank 1 Nordmøre,5.34,3000.0,75.0,1200.0,90.0,30,18,100
Sparebanken Møre,5.39,2500.0,75.0,1000.0,85.0,30,18,100
Luster Sparebank,6.7,0,60.0,750.0,75.0,30,18,100
SpareBank 1 Hallingd...,5.7,0,75.0,750.0,50.0,10,18,100
Berg Sparebank,5.94,3000.0,50.0,1000.0,60.0,25,18,99
SpareBank 1 Sogn og ...,5.29,3500.0,65.0,0,90.0,15,18,100
Sparebanken Vest,5.59,3590.0,69.0,0.0,85.0,30,18,33
JBF Bank og Forsikri...,5.4,3200.0,65.0,1000.0,50.0,30,18,100
JBF Bank og Forsikri...,5.4,3200.0,65.0,1000.0,50.0,30,18,100
JBF Bank og Forsikri...,5.39,3200.0,80.0,1000.0,60.0,20,18,100
JBF Bank og Forsikri...,5.95,3200.0,65.0,1000.0,50.0,30,18,100
Sogn Sparebank,6.1,2500.0,65.0,1000.0,75.0,30,35,150
JBF Bank og Forsikri...,6.05,3200.0,65.0,1000.0,75.0,30,18,100
SpareBank 1 Østfold ...,4.99,3000.0,60.0,0.0,90.0,30,18,100
Sogn Sparebank,6.5,2500.0,65.0,1000.0,75.0,30,35,150
JBF Bank og Forsikri...,5.39,3200.0,65.0,1000.0,75.0,30,18,100
SpareBank 1 Østfold ...,6.09,3000.0,70.0,0.0,60.0,25,18,90
SpareBank 1 Østfold ...,5.04,3000.0,60.0,0.0,90.0,30,18,100
Oslofjord Sparebank,5.9,3000.0,75.0,0.0,60.0,30,18,100
SpareBank 1 Østfold ...,5.99,3000.0,70.0,0.0,60.0,25,18,90
Norsk Sykepleierforb...,5.44,0.0,65.0,0.0,85.0,30,18,33
Etnedal Sparebank,4.7,2000.0,50.0,750.0,85.0,10,18,100
Sparebanken Narvik,9.35,5000.0,50.0,500.0,85.0,2,18,100
Norsk Sykepleierforb...,5.64,0.0,65.0,0.0,60.0,30,18,100
SpareBank 1 Nordmøre,6.19,3000.0,75.0,1200.0,50.0,25,18,100
BN Bank ASA,5.9,1500.0,45.0,500.0,75.0,30,18,150
Orkla Sparebank,5.99,2000.0,60.0,1000.0,90.0,25,18,33
Sparebank 68° Nord,5.25,5000.0,65.0,1000.0,90.0,30,18,33
Sunndal Sparebank,5.3,3500.0,65.0,1000.0,85.0,30,18,34
KLP Banken AS,5.5,2000.0,35.0,0.0,75.0,30,35,100
BN Bank ASA,5.99,1500.0,45.0,500.0,85.0,30,18,150
Flekkefjord Spareban...,5.75,2750.0,75.0,750.0,60.0,10,18,100
Norsk Sykepleierforb...,5.49,0.0,65.0,0.0,50.0,30,18,100
Strømmen Sparebank,5.8,4000.0,65.0,0,60.0,30,18,100
SpareBank 1 Gudbrand...,5.5,0,50.0,800.0,50.0,30,18,100
Strømmen Sparebank,5.25,4000.0,65.0,0,85.0,25,18,100
OBOS-banken AS,7.79,2800.0,0.0,0.0,50.0,30,60,100
Berg Sparebank,5.74,30.0,50.0,1000.0,90.0,30,18,100
SpareBank 1 Østfold ...,5.54,3000.0,70.0,0.0,90.0,30,18,100
Ørskog Sparebank,5.2,3000.0,70.0,1000.0,75.0,30,18,100
OBOS-banken AS,7.64,2800.0,0.0,0.0,50.0,30,60,100
SpareBank 1 Østfold ...,5.44,3000.0,60.0,0.0,90.0,30,18,33
Ørskog Sparebank,5.3,3000.0,70.0,1000.0,90.0,30,18,33
SpareBank 1 Østfold ...,5.34,3000.0,60.0,0.0,90.0,30,18,100
Berg Sparebank,5.54,3000.0,50.0,1000.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",6.15,3500.0,70.0,0,60.0,25,18,100
SpareBank 1 Østfold ...,5.44,3000.0,60.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",6.15,3500.0,70.0,0,60.0,25,18,100
SpareBank 1 Nord-Nor...,6.25,4000.0,65.0,1300.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
Trøndelag Sparebank,5.8,2000.0,65.0,1000.0,90.0,30,18,33
SpareBank 1 Østfold ...,9.95,7500.0,0.0,0,100.0,1,18,100
"NORDEA BANK ABP, FIL...",5.85,0.0,50.0,0.0,90.0,30,18,33
Jæren Sparebank,5.15,3500.0,70.0,0,85.0,25,18,100
SpareBank 1 Østfold ...,5.49,3000.0,70.0,0.0,60.0,10,18,100
"NORDEA BANK ABP, FIL...",7.0,2500.0,50.0,0,90.0,2,18,100
Romerike Sparebank,5.38,0.0,75.0,0.0,60.0,30,18,100
Trøndelag Sparebank,7.75,3000.0,0.0,1000.0,85.0,2,18,100
"NORDEA BANK ABP, FIL...",6.05,0.0,50.0,0.0,90.0,30,18,100
Cultura Sparebank,6.2,2000.0,50.0,1000.0,85.0,25,18,100
Trøndelag Sparebank,6.25,2000.0,100.0,1000.0,60.0,30,18,100
Ørskog Sparebank,5.7,3000.0,70.0,1000.0,60.0,30,18,100
"NORDEA BANK ABP, FIL...",6.05,3200.0,50.0,0.0,90.0,30,18,100
Cultura Sparebank,5.4,2000.0,50.0,1000.0,85.0,25,18,100
Romerike Sparebank,5.19,0.0,70.0,0.0,85.0,30,18,100
Trøndelag Sparebank,5.75,2000.0,65.0,1000.0,75.0,30,18,100
KLP Banken AS,5.4,2000.0,35.0,0.0,75.0,30,35,100
"NORDEA BANK ABP, FIL...",5.44,1000.0,0.0,0.0,90.0,30,18,100
Jæren Sparebank,5.25,3500.0,70.0,0,85.0,25,18,100
KLP Banken AS,5.7,2000.0,35.0,0.0,90.0,30,35,100
Jæren Sparebank,5.1,3500.0,70.0,0,85.0,25,18,100
"NORDEA BANK ABP, FIL...",5.85,0.0,50.0,0.0,90.0,30,18,33
Cultura Sparebank,6.1,2000.0,50.0,1000.0,75.0,25,18,100
Odal Sparebank,5.15,2500.0,70.0,750.0,60.0,30,18,100
Romerike Sparebank,5.7,0.0,70.0,0.0,85.0,30,18,100
KLP Banken AS,5.5,2000.0,35.0,0.0,75.0,30,18,100
KLP Banken AS,5.9,2750.0,55.0,0,75.0,30,18,100
Odal Sparebank,5.3,2500.0,70.0,750.0,60.0,30,18,100
KLP Banken AS,5.5,2000.0,35.0,0.0,60.0,30,18,100
Odal Sparebank,5.15,2500.0,70.0,750.0,60.0,30,18,100
Orkla Sparebank,5.59,2000.0,60.0,1000.0,90.0,30,18,100
Romerike Sparebank,5.38,0.0,70.0,0.0,75.0,30,18,100
KLP Banken AS,5.9,2750.0,55.0,0,60.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,45.0,0.0,90.0,30,18,33
KLP Banken AS,6.2,2750.0,55.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.85,3500.0,65.0,0.0,90.0,30,18,33
KLP Banken AS,5.4,2000.0,35.0,0,60.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,45.0,0.0,90.0,30,18,39
KLP Banken AS,5.8,2000.0,35.0,0.0,90.0,30,35,100
"NORDEA BANK ABP, FIL...",6.34,3500.0,65.0,0.0,90.0,30,18,100
KLP Banken AS,5.9,2750.0,55.0,0.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.85,3500.0,65.0,0.0,90.0,30,18,33
Agder Sparebank,6.24,3000.0,70.0,900.0,90.0,30,18,100
SpareBank 1 Østlande...,5.19,2200.0,60.0,1000.0,90.0,25,18,33
Orkla Sparebank,6.45,2000.0,70.0,1000.0,60.0,30,18,100
Agder Sparebank,6.29,3000.0,70.0,900.0,90.0,30,18,100
Skudenes & Aakra Spa...,5.94,0,60.0,750.0,60.0,30,18,100
Agder Sparebank,5.29,3000.0,70.0,900.0,90.0,30,18,100
Valdres Sparebank,5.05,2000.0,50.0,750.0,85.0,10,18,100
SpareBank 1 Østlande...,5.14,2200.0,60.0,1000.0,90.0,25,18,33
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,100
Rogaland Sparebank,4.89,0,75.0,0.0,75.0,30,18,100
Agder Sparebank,5.29,3000.0,70.0,900.0,90.0,30,18,100
SpareBank 1 Østlande...,5.19,2200.0,60.0,1000.0,75.0,25,18,100
Rogaland Sparebank,4.89,0,75.0,0.0,75.0,30,18,100
SpareBank 1 Østlande...,5.09,2200.0,60.0,1000.0,90.0,25,18,33
"NORDEA BANK ABP, FIL...",6.34,3500.0,65.0,0.0,90.0,30,18,100
Agder Sparebank,5.79,3000.0,70.0,900.0,90.0,30,18,33
SpareBank 1 Østlande...,5.14,2200.0,60.0,1000.0,75.0,25,18,100
Skudenes & Aakra Spa...,6.24,0,60.0,750.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.49,3500.0,65.0,0,90.0,30,18,33
Rogaland Sparebank,4.99,0,75.0,0.0,75.0,30,18,100
DNB Bank ASA,6.34,2190.0,65.0,1000.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.74,3200.0,50.0,0.0,90.0,30,18,100
SpareBank 1 Østlande...,5.09,2200.0,60.0,1000.0,75.0,25,18,100
"NORDEA BANK ABP, FIL...",7.0,2500.0,50.0,0,90.0,1,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,50.0,0.0,90.0,30,18,33
"NORDEA BANK ABP, FIL...",7.0,2500.0,50.0,0,90.0,2,18,100
Bien Sparebank ASA,4.85,4000.0,65.0,0.0,75.0,30,18,100
SpareBank 1 Østfold ...,5.69,3000.0,70.0,0.0,60.0,25,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,50.0,0.0,90.0,30,18,39
SpareBank 1 Østfold ...,5.69,3000.0,60.0,0.0,75.0,25,34,100
"NORDEA BANK ABP, FIL...",5.44,0.0,50.0,0.0,90.0,30,18,33
Bien Sparebank ASA,5.0,4000.0,65.0,0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.74,3200.0,50.0,0.0,90.0,30,18,100
Bien Sparebank ASA,4.85,4000.0,65.0,0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,50.0,0.0,90.0,30,18,39
"NORDEA BANK ABP, FIL...",5.7,0.0,50.0,0.0,90.0,30,18,100
SpareBank 1 SMN,5.44,2650.0,65.0,1200.0,90.0,30,18,33
SpareBank 1 SMN,5.44,2650.0,65.0,1200.0,90.0,30,18,100
SpareBank 1 SMN,5.64,2650.0,65.0,1200.0,60.0,30,18,100
SpareBank 1 SMN,5.84,2650.0,65.0,1200.0,90.0,30,18,33
SpareBank 1 SMN,5.44,2650.0,65.0,1200.0,90.0,30,18,100
SpareBank 1 SMN,5.74,2650.0,65.0,1200.0,90.0,30,18,33
SpareBank 1 Helgelan...,10.55,10000.0,0.0,0.0,85.0,1,18,100
Selbu Sparebank,5.74,4500.0,60.0,0.0,85.0,30,18,100
Sparebanken DIN Tele...,6.64,0,70.0,750.0,60.0,30,18,100
Berg Sparebank,5.39,3000.0,50.0,1000.0,90.0,30,18,33
Søgne og Greipstad S...,5.34,2500.0,65.0,1000.0,85.0,30,18,100
SpareBank 1 Helgelan...,6.34,5000.0,75.0,0.0,60.0,30,30,100
SpareBank 1 SMN,5.49,2650.0,65.0,1200.0,90.0,30,18,33
Selbu Sparebank,5.54,4500.0,60.0,0.0,85.0,30,18,33
Berg Sparebank,5.04,3000.0,50.0,1000.0,90.0,30,18,34
Søgne og Greipstad S...,5.94,2500.0,65.0,1000.0,85.0,30,18,33
SpareBank 1 Helgelan...,6.04,5000.0,65.0,0,50.0,30,34,100
Selbu Sparebank,7.75,10000.0,60.0,0,85.0,2,18,100
SpareBank 1 SMN,5.64,2650.0,65.0,1200.0,50.0,30,18,100
Sparebanken DIN Tele...,4.49,0.0,60.0,750.0,85.0,10,18,100
Søgne og Greipstad S...,6.5,2500.0,65.0,1000.0,60.0,30,18,100
Selbu Sparebank,5.7,4500.0,75.0,0.0,60.0,10,18,100
SpareBank 1 SMN,5.8,2650.0,65.0,1200.0,75.0,30,18,100
Sparebanken DIN Tele...,5.49,0,60.0,750.0,85.0,30,18,33
Søgne og Greipstad S...,5.49,2500.0,65.0,1000.0,85.0,30,18,33
Sparebanken DIN Tele...,6.64,0,60.0,750.0,60.0,25,18,100
SpareBank 1 Helgelan...,6.8,5000.0,65.0,0.0,75.0,30,34,100
Aurskog Sparebank,5.65,3000.0,75.0,3000.0,60.0,10,18,100
Sparebanken DIN Tele...,6.25,0,60.0,750.0,60.0,30,18,33
Søgne og Greipstad S...,9.15,4500.0,65.0,1000.0,70.0,2,18,100
Aurskog Sparebank,5.4,3000.0,75.0,3000.0,85.0,30,18,34
DNB Bank ASA,6.34,2190.0,65.0,1000.0,60.0,30,18,100
SpareBank 1 Ringerik...,4.99,2000.0,50.0,1000.0,70.0,25,18,100
Høland og Setskog Sp...,7.7,5000.0,0.0,0.0,85.0,2,18,100
Selbu Sparebank,5.8,4500.0,60.0,0.0,60.0,30,18,100
SpareBank 1 Ringerik...,5.19,2000.0,50.0,1000.0,70.0,25,18,100
DNB Bank ASA,5.49,2190.0,65.0,1000.0,60.0,30,18,100
SpareBank 1 Ringerik...,5.1,2000.0,50.0,1000.0,70.0,25,18,100
Selbu Sparebank,5.59,4500.0,60.0,0.0,80.0,30,18,33
"Svea Bank AB, Filial...",8.0,0,55.0,0,85.0,30,18,67
Selbu Sparebank,6.15,4500.0,60.0,0.0,80.0,30,18,100
SpareBank 1 Østfold ...,5.44,3000.0,60.0,0,90.0,30,18,100
Nidaros Sparebank,5.64,0,60.0,2000.0,55.0,30,18,100
Statens pensjonskass...,5.175,1800.0,60.0,0,80.0,30,18,100
SpareBank 1 Østfold ...,5.49,3000.0,60.0,0.0,90.0,30,18,100
Voss Sparebank,6.59,0,0.0,0.0,85.0,1,18,100
Voss Sparebank,5.39,0,50.0,0.0,85.0,30,18,100
Nidaros Sparebank,5.69,0,60.0,2000.0,90.0,30,18,33
Skudenes & Aakra Spa...,6.39,0,60.0,750.0,90.0,30,18,100
Voss Sparebank,5.94,0,50.0,0.0,75.0,30,18,100
Voss Sparebank,5.39,0,50.0,0.0,90.0,30,18,33
Skudenes & Aakra Spa...,5.79,0,60.0,750.0,90.0,30,18,33
Tysnes Sparebank,6.09,2500.0,65.0,1000.0,75.0,30,18,100
Fana Sparebank,6.55,1500.0,70.0,500.0,60.0,30,18,
Skudenes & Aakra Spa...,5.59,0,60.0,750.0,90.0,30,18,33
SpareBank 1 Gudbrand...,5.5,0,50.0,800.0,50.0,30,18,100
SpareBank 1 Helgelan...,5.65,3000.0,65.0,0,50.0,30,18,100
SpareBank 1 Helgelan...,5.45,5000.0,65.0,0.0,75.0,30,18,100
SpareBank 1 Helgelan...,5.79,3000.0,65.0,0.0,75.0,30,18,100
SpareBank 1 Helgelan...,5.4,5000.0,65.0,0.0,75.0,30,18,100
SpareBank 1 Helgelan...,5.74,5000.0,65.0,0.0,90.0,10,18,100
SpareBank 1 Helgelan...,6.99,5000.0,65.0,0.0,75.0,30,18,100
SpareBank 1 SMN,5.49,2650.0,65.0,1200.0,75.0,30,18,100
SpareBank 1 Sør-Norg...,5.05,3200.0,60.0,0.0,75.0,30,18,100
SpareBank 1 Nord-Nor...,7.9,4000.0,65.0,1300.0,85.0,1,18,100
