Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
Bien Sparebank ASA,5.64,3000.0,65.0,0,90.0,30,18,33
SpareBank 1 Sør-Norg...,5.15,3200.0,60.0,0.0,75.0,30,18,100
SpareBank 1 Sør-Norg...,5.09,3200.0,60.0,0.0,75.0,30,18,100
Valle Sparebank,5.4,0,65.0,1000.0,90.0,30,18,33
Valle Sparebank,5.85,0,65.0,1000.0,90.0,30,18,33
Nidaros Sparebank,5.49,0,60.0,2000.0,90.0,30,18,33
Storebrand Bank ASA,5.74,0.0,0.0,0.0,90.0,10,18,100
Etnedal Sparebank,6.0,2000.0,50.0,750.0,90.0,25,18,100
Nidaros Sparebank,5.54,0,60.0,2000.0,55.0,30,18,100
Sbanken (DNB Bank AS...,5.7,0.0,0.0,0.0,90.0,30,21,100
Flekkefjord Spareban...,5.0,2750.0,50.0,750.0,60.0,30,18,100
Landkreditt Bank AS,5.35,0.0,0.0,500.0,60.0,30,18,100
Romerike Sparebank,5.04,3500.0,70.0,0.0,75.0,30,18,100
Askim og Spydeberg S...,5.3,0.0,50.0,0.0,75.0,25,18,100
Landkreditt Bank AS,5.99,0.0,0.0,500.0,75.0,30,18,100
Storebrand Bank ASA,6.99,2190.0,50.0,950.0,85.0,30,18,100
Flekkefjord Spareban...,5.1,2750.0,50.0,750.0,60.0,30,18,100
Sbanken (DNB Bank AS...,5.56,0.0,0.0,0.0,75.0,30,21,100
Sbanken (DNB Bank AS...,5.56,0.0,0.0,0.0,75.0,30,21,100
Landkreditt Bank AS,5.2,0.0,0.0,500.0,50.0,30,18,100
Aasen Sparebank,5.89,3950.0,60.0,0,85.0,30,18,100
Landkreditt Bank AS,6.2,0.0,0.0,500.0,75.0,30,18,100
Aasen Sparebank,5.79,3950.0,60.0,0,85.0,30,18,34
Landkreditt Bank AS,5.74,0.0,0.0,500.0,50.0,30,18,100
Aasen Sparebank,5.69,3950.0,60.0,0.0,85.0,30,18,100
Høland og Setskog Sp...,4.9,0.0,75.0,0,85.0,30,18,100
Landkreditt Bank AS,5.94,0.0,0.0,500.0,50.0,30,18,100
Sunndal Sparebank,6.75,3500.0,55.0,1000.0,60.0,30,18,100
Aasen Sparebank,5.49,3950.0,60.0,0.0,85.0,30,18,34
Landkreditt Bank AS,5.99,0.0,0.0,500.0,60.0,30,18,100
Aasen Sparebank,5.9,3950.0,60.0,0.0,60.0,30,18,100
Sparebanken Sør,5.05,2500.0,65.0,1000.0,75.0,30,18,33
Aasen Sparebank,5.79,3950.0,60.0,0.0,60.0,30,18,34
Sparebanken Sør,5.05,2500.0,65.0,1000.0,75.0,30,18,33
Sparebanken Sør,5.1,2500.0,65.0,1000.0,75.0,30,18,100
Sbanken (DNB Bank AS...,5.32,0.0,0.0,0.0,60.0,30,21,100
Sparebanken Sør,5.0,2500.0,65.0,1000.0,75.0,30,18,33
Sparebanken Sør,5.0,2500.0,65.0,1000.0,75.0,30,18,100
Sbanken (DNB Bank AS...,5.32,0.0,0.0,0.0,60.0,30,21,100
Sparebanken Sør,5.1,2500.0,65.0,1000.0,75.0,30,18,100
Nybygger.no (Spareba...,5.64,0.0,0.0,0.0,50.0,30,18,100
Søgne og Greipstad S...,5.19,2500.0,65.0,1000.0,75.0,25,18,100
Romerike Sparebank,5.52,3500.0,70.0,0.0,75.0,30,18,100
SpareBank 1 Østlande...,8.6,5000.0,0.0,1000.0,80.0,2,18,100
Gildeskål Sparebank,6.1,3000.0,50.0,1000.0,85.0,30,18,33
Gildeskål Sparebank,6.5,3000.0,50.0,1000.0,60.0,30,18,100
SpareBank 1 SMN,5.09,2650.0,60.0,1200.0,85.0,30,18,33
"NORDEA BANK ABP, FIL...",5.7,0.0,50.0,0.0,90.0,30,18,100
SpareBank 1 SMN,5.14,2650.0,60.0,1200.0,85.0,30,18,33
SpareBank 1 SMN,5.09,2650.0,60.0,1200.0,85.0,30,18,33
Nidaros Sparebank,7.2,0,60.0,0,85.0,2,18,100
SpareBank 1 SMN,5.34,2650.0,60.0,1200.0,85.0,30,18,100
Landkreditt Bank AS,6.15,0.0,0.0,500.0,90.0,30,18,33
Trøgstad Sparebank,5.49,0.0,65.0,0.0,90.0,35,18,100
SpareBank 1 SMN,5.29,2650.0,60.0,1200.0,85.0,30,18,100
Landkreditt Bank AS,6.15,0.0,0.0,500.0,90.0,30,18,33
SpareBank 1 SMN,5.09,2650.0,60.0,1200.0,75.0,30,18,100
Trøgstad Sparebank,5.49,4000.0,65.0,1500.0,90.0,30,18,33
SpareBank 1 SMN,5.29,2650.0,60.0,1200.0,85.0,30,18,100
Trøgstad Sparebank,5.49,0.0,65.0,0.0,90.0,35,18,100
SpareBank 1 SMN,5.14,2650.0,60.0,1200.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.69,0.0,70.0,0.0,60.0,40,18,100
SpareBank 1 SMN,5.09,2650.0,60.0,1200.0,75.0,30,18,100
Trøgstad Sparebank,5.84,4000.0,65.0,1500.0,90.0,30,18,100
Sbanken (DNB Bank AS...,5.51,0.0,0.0,0.0,60.0,25,21,100
Høland og Setskog Sp...,5.85,3500.0,75.0,0.0,60.0,25,18,100
Sbanken (DNB Bank AS...,5.51,0.0,0.0,0.0,60.0,25,21,100
Sogn Sparebank,6.7,2500.0,65.0,1000.0,90.0,30,35,150
Romerike Sparebank,4.89,3500.0,70.0,0.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.7,0.0,50.0,0.0,75.0,30,18,100
SpareBank 1 Helgelan...,5.59,5000.0,65.0,0.0,90.0,30,34,100
SpareBank 1 Sør-Norg...,5.59,0.0,60.0,0,50.0,30,18,
SpareBank 1 Helgelan...,5.34,3000.0,65.0,0.0,90.0,30,18,34
SpareBank 1 Sør-Norg...,5.78,0.0,60.0,0,75.0,30,18,
SpareBank 1 Helgelan...,5.54,3000.0,65.0,0.0,90.0,30,18,
"NORDEA BANK ABP, FIL...",5.5,0.0,50.0,0.0,60.0,30,18,100
Tolga-Os Sparebank,5.3,2500.0,60.0,1000.0,85.0,30,18,34
SpareBank 1 Helgelan...,5.64,3000.0,65.0,0.0,90.0,30,18,34
Sogn Sparebank,5.25,2500.0,65.0,1000.0,75.0,30,18,33
SpareBank 1 Sør-Norg...,5.29,0.0,60.0,0,90.0,30,18,
Drangedal Sparebank,5.55,2250.0,65.0,750.0,85.0,25,20,34
Himla Banktjenester ...,5.28,0.0,0.0,0.0,55.0,30,18,100
Drangedal Sparebank,7.35,2250.0,65.0,750.0,60.0,20,18,100
Himla Banktjenester ...,5.49,0.0,0.0,0.0,75.0,30,18,100
Drangedal Sparebank,5.45,2250.0,65.0,750.0,85.0,25,18,33
Drangedal Sparebank,6.1,2250.0,65.0,750.0,75.0,30,18,100
Storebrand Bank ASA,5.09,2190.0,50.0,950.0,70.0,40,18,100
Aurskog Sparebank,5.85,3000.0,75.0,3000.0,75.0,30,18,100
Stadsbygd Sparebank,6.35,0,60.0,1000.0,60.0,30,18,100
Tolga-Os Sparebank,7.75,5000.0,0.0,1000.0,85.0,2,18,100
Aurskog Sparebank,6.6,3000.0,75.0,3000.0,85.0,30,18,100
Haugesund Sparebank,5.79,0,50.0,1000.0,90.0,30,18,33
Tolga-Os Sparebank,6.35,2500.0,65.0,1000.0,60.0,35,18,34
Haugesund Sparebank,5.69,0,50.0,1000.0,90.0,30,18,33
Tolga-Os Sparebank,5.3,2500.0,60.0,1000.0,85.0,35,18,34
Sbanken (DNB Bank AS...,7.478,0.0,0.0,0,85.0,2,18,100
Tolga-Os Sparebank,6.85,2500.0,60.0,1000.0,75.0,30,18,100
Haltdalen Sparebank,7.5,5000.0,0.0,0,85.0,2,18,100
Bjugn Sparebank,5.75,0,65.0,1000.0,85.0,30,18,33
Valdres Sparebank,5.7,2000.0,50.0,750.0,85.0,30,18,33
Bjugn Sparebank,10.55,0,65.0,1000.0,85.0,2,18,100
Valdres Sparebank,5.15,2000.0,50.0,750.0,75.0,30,18,34
Flekkefjord Spareban...,6.2,2750.0,50.0,750.0,75.0,30,18,100
Flekkefjord Spareban...,6.7,2750.0,50.0,750.0,60.0,25,18,100
Valdres Sparebank,5.3,2000.0,50.0,750.0,85.0,30,18,33
Sparebanken Øst,5.23,0.0,75.0,0.0,85.0,30,18,100
Flekkefjord Spareban...,6.25,2750.0,75.0,750.0,60.0,25,18,100
Bulder (Sparebanken ...,5.33,0.0,0.0,0.0,55.0,30,18,100
Bulder (Sparebanken ...,5.38,0.0,0.0,0.0,60.0,30,18,100
Stadsbygd Sparebank,6.1,0,60.0,1000.0,60.0,30,18,100
Melhusbanken,5.69,0,50.0,1000.0,90.0,30,18,33
Melhusbanken,9.0,0,0.0,1000.0,90.0,2,18,100
Melhusbanken,5.55,0,50.0,1000.0,90.0,30,18,100
Melhusbanken,6.55,0,50.0,1000.0,90.0,30,18,100
Bulder (Sparebanken ...,5.3,0.0,0.0,0.0,50.0,30,18,100
Melhusbanken,5.69,0,50.0,1000.0,90.0,30,18,33
Melhusbanken,5.55,0,50.0,1000.0,90.0,30,18,100
Søgne og Greipstad S...,6.4,2500.0,65.0,1000.0,75.0,25,18,100
SpareBank 1 Helgelan...,5.45,3000.0,65.0,0.0,90.0,10,18,100
Sogn Sparebank,5.25,2500.0,65.0,1000.0,85.0,30,18,34
Odal Sparebank,5.7,2500.0,70.0,750.0,90.0,30,18,33
Lillesands Sparebank,6.39,0,60.0,1000.0,85.0,30,18,100
SpareBank 1 Helgelan...,5.34,3000.0,65.0,0,90.0,30,18,
"NORDEA BANK ABP, FIL...",7.0,2500.0,50.0,0.0,90.0,1,18,100
SpareBank 1 Østlande...,5.19,0.0,60.0,0.0,90.0,30,18,100
Sogn Sparebank,5.35,2500.0,65.0,1000.0,90.0,30,18,33
SpareBank 1 Helgelan...,5.29,3000.0,65.0,0.0,90.0,30,18,100
SpareBank 1 Helgelan...,5.34,3000.0,65.0,0.0,90.0,30,18,
SpareBank 1 Sør-Norg...,5.35,0.0,60.0,0,90.0,30,18,33
Tysnes Sparebank,6.09,2500.0,65.0,1000.0,60.0,30,18,100
SpareBank 1 Helgelan...,5.52,3000.0,65.0,0,90.0,30,18,34
"NORDEA BANK ABP, FIL...",5.74,3200.0,50.0,0.0,90.0,30,18,100
SpareBank 1 Østlande...,5.19,0.0,60.0,0.0,90.0,25,18,33
SpareBank 1 Gudbrand...,5.35,0,50.0,800.0,90.0,30,18,100
Haugesund Sparebank,5.59,0,50.0,1000.0,85.0,25,18,100
Sparebank 68° Nord,6.1,5000.0,65.0,1000.0,90.0,30,18,100
Skue Sparebank,5.2,0,60.0,0,85.0,30,18,100
SpareBank 1 Gudbrand...,5.35,0,50.0,800.0,90.0,30,18,100
Storebrand Bank ASA,5.49,2190.0,50.0,950.0,85.0,30,18,100
Sparebank 68° Nord,5.3,5000.0,65.0,1000.0,90.0,30,18,33
DinBANK.no(Sparebank...,5.72,0.0,0.0,0.0,80.0,30,18,100
Skue Sparebank,5.2,0,60.0,0,85.0,30,18,100
SpareBank 1 Gudbrand...,6.35,0,50.0,800.0,90.0,30,34,100
Hegra Sparebank,5.75,4000.0,50.0,0.0,85.0,30,18,34
SpareBank 1 Østfold ...,5.59,3000.0,60.0,0.0,55.0,30,18,100
Bulder (Sparebanken ...,5.5,0.0,0.0,0.0,70.0,30,18,100
DinBANK.no(Sparebank...,5.55,0.0,0.0,0.0,70.0,30,18,100
SpareBank 1 Lom og S...,5.2,2500.0,50.0,0.0,90.0,10,18,100
SpareBank 1 Gudbrand...,5.5,0,50.0,800.0,90.0,30,18,33
Bulder (Sparebanken ...,5.54,0.0,0.0,0.0,75.0,30,18,100
DinBANK.no(Sparebank...,5.62,0.0,0.0,0.0,75.0,30,18,100
Skue Sparebank,5.35,0,60.0,0,85.0,30,18,100
Bulder (Sparebanken ...,5.51,0.0,0.0,0.0,90.0,30,18,34
Stadsbygd Sparebank,5.75,0,60.0,1000.0,85.0,30,18,33
DinBANK.no(Sparebank...,5.4,0.0,0.0,0.0,60.0,30,18,100
SpareBank 1 Lom og S...,5.4,2950.0,50.0,0.0,75.0,10,18,100
DinBANK.no(Sparebank...,5.46,0.0,0.0,0.0,65.0,30,18,100
SpareBank 1 Lom og S...,5.2,2500.0,50.0,0.0,90.0,30,18,100
Selbu Sparebank,5.85,4500.0,60.0,0.0,85.0,30,18,33
SpareBank 1 Ringerik...,5.34,2000.0,50.0,1000.0,90.0,10,18,100
Bulder (Sparebanken ...,5.51,0.0,0.0,0.0,85.0,30,18,34
DinBANK.no(Sparebank...,5.35,0.0,0.0,0.0,55.0,30,18,100
Bulder (Sparebanken ...,5.48,0.0,0.0,0.0,75.0,30,18,34
BN Bank ASA,7.4,1500.0,45.0,500.0,85.0,1,18,150
DinBANK.no(Sparebank...,5.32,0.0,0.0,0.0,50.0,30,18,100
Valdres Sparebank,5.6,2000.0,50.0,750.0,60.0,20,18,100
SpareBank 1 Ringerik...,5.34,2000.0,50.0,1000.0,90.0,30,18,100
Tysnes Sparebank,5.58,2500.0,65.0,1000.0,90.0,30,18,33
Bulder (Sparebanken ...,5.51,0.0,0.0,0.0,80.0,30,18,34
BN Bank ASA,7.05,1500.0,0.0,500.0,50.0,30,60,95
SpareBank 1 Ringerik...,7.15,2000.0,50.0,1000.0,90.0,1,18,100
Bulder (Sparebanken ...,5.39,0.0,0.0,0.0,65.0,30,18,34
Valdres Sparebank,5.45,2000.0,50.0,750.0,75.0,30,18,100
SpareBank 1 Ringerik...,6.49,2000.0,50.0,1000.0,90.0,25,18,100
SpareBank 1 Østlande...,5.49,0.0,60.0,0.0,50.0,30,18,100
Bulder (Sparebanken ...,5.45,0.0,0.0,0.0,70.0,30,18,34
Valdres Sparebank,8.3,6000.0,50.0,750.0,85.0,5,18,100
SpareBank 1 Ringerik...,5.84,2000.0,50.0,1000.0,90.0,25,18,33
Sparebanken Narvik,4.94,4000.0,35.0,0,75.0,30,18,100
SpareBank 1 Nordmøre,5.69,3000.0,75.0,1200.0,90.0,25,18,100
Sparebanken Narvik,4.89,4000.0,35.0,0,75.0,30,18,100
Bjugn Sparebank,6.6,0,75.0,1000.0,60.0,30,25,
Bulder (Sparebanken ...,5.33,0.0,0.0,0.0,55.0,30,18,34
SpareBank 1 Ringerik...,5.54,2000.0,50.0,1000.0,90.0,25,18,33
Sparebanken Narvik,4.99,4000.0,35.0,0,75.0,30,18,100
Boligkreditt.no (Spa...,6.17,0.0,0.0,0.0,50.0,30,18,100
Bulder (Sparebanken ...,5.36,0.0,0.0,0.0,60.0,30,18,34
Valdres Sparebank,5.35,2000.0,50.0,750.0,75.0,30,18,100
SpareBank 1 Ringerik...,8.5,9000.0,0.0,1000.0,90.0,2,18,100
Boligkreditt.no (Spa...,6.47,0.0,0.0,0.0,75.0,30,18,100
Bjugn Sparebank,7.0,0,65.0,1000.0,70.0,30,18,
Bulder (Sparebanken ...,5.46,0.0,0.0,0.0,65.0,30,18,100
Valdres Sparebank,5.6,2000.0,50.0,750.0,60.0,30,18,100
Bjugn Sparebank,6.5,0,65.0,1000.0,60.0,30,18,100
Bulder (Sparebanken ...,5.3,0.0,0.0,0.0,50.0,30,18,34
Valdres Sparebank,5.65,2000.0,50.0,750.0,75.0,30,18,100
SpareBank 1 Sogn og ...,5.69,3500.0,65.0,0,90.0,30,18,33
SpareBank 1 Ringerik...,6.39,2000.0,50.0,1000.0,75.0,25,18,100
Høland og Setskog Sp...,6.15,3500.0,75.0,0.0,80.0,25,18,100
Bulder (Sparebanken ...,5.62,0.0,0.0,0.0,60.0,30,18,100
SpareBank 1 Sogn og ...,6.39,3500.0,65.0,0.0,90.0,30,18,100
Berg Sparebank,7.89,3000.0,50.0,1000.0,85.0,1,18,100
SpareBank 1 Ringerik...,6.14,2000.0,50.0,1000.0,60.0,25,18,100
SpareBank 1 Gudbrand...,5.8,0,50.0,800.0,90.0,30,34,100
SpareBank 1 Nordmøre,5.34,0.0,0.0,0.0,90.0,10,18,100
Berg Sparebank,10.05,7500.0,0.0,1000.0,85.0,2,18,100
Bulder (Sparebanken ...,5.57,0.0,0.0,0.0,55.0,30,18,100
SpareBank 1 Gudbrand...,5.25,1750.0,50.0,800.0,90.0,30,18,100
Romsdal Sparebank,8.15,0,0.0,1000.0,90.0,1,18,100
SpareBank 1 Gudbrand...,5.1,1750.0,50.0,800.0,90.0,10,18,100
Bulder (Sparebanken ...,5.52,0.0,0.0,0.0,50.0,30,18,100
Aurskog Sparebank,8.5,6000.0,0.0,3000.0,80.0,1,18,100
SpareBank 1 Gudbrand...,5.4,0,50.0,800.0,90.0,30,18,33
SpareBank 1 Gudbrand...,5.25,0,50.0,800.0,90.0,30,18,100
Bulder (Sparebanken ...,5.58,0.0,0.0,0.0,90.0,30,18,100
Oslofjord Sparebank,7.35,5000.0,0.0,0.0,50.0,30,60,95
SpareBank 1 Gudbrand...,6.35,0,50.0,800.0,90.0,30,18,100
Bulder (Sparebanken ...,5.58,0.0,0.0,0.0,80.0,30,18,100
Sparebank 68° Nord,5.5,5000.0,65.0,1000.0,90.0,30,18,100
SpareBank 1 Gudbrand...,5.15,0,50.0,800.0,90.0,10,18,100
Bulder (Sparebanken ...,5.58,0.0,0.0,0.0,85.0,30,18,100
Sparebank 68° Nord,6.1,5000.0,100.0,1000.0,60.0,30,18,100
SpareBank 1 Hallingd...,5.1,0,70.0,750.0,85.0,25,18,100
Sparebanken Øst,5.39,0.0,75.0,1250.0,90.0,30,18,34
SpareBank 1 Hallingd...,5.05,0,70.0,750.0,85.0,25,18,100
Hegra Sparebank,6.45,4000.0,50.0,0.0,70.0,30,18,100
SpareBank 1 Ringerik...,6.14,2000.0,70.0,1000.0,60.0,20,18,100
SpareBank 1 Hallingd...,5.1,0,70.0,750.0,80.0,25,18,100
SpareBank 1 Hallingd...,5.15,0,70.0,750.0,85.0,25,18,100
SpareBank 1 Ringerik...,5.99,2000.0,70.0,1000.0,50.0,20,18,100
Sparebanken DIN Tele...,5.39,0,60.0,750.0,90.0,25,18,100
SpareBank 1 Hallingd...,5.15,0,70.0,750.0,80.0,25,18,100
Sparebanken Øst,5.24,0.0,75.0,0.0,90.0,30,18,34
SpareBank 1 Hallingd...,5.05,0,70.0,750.0,80.0,25,18,100
SpareBank 1 Sogn og ...,5.39,3500.0,65.0,0,90.0,30,18,100
Evje og Hornnes Spar...,5.4,0,60.0,1000.0,90.0,30,18,33
Sparebanken Øst,5.48,0.0,75.0,1250.0,80.0,30,18,100
Aurskog Sparebank,4.5,0.0,0.0,0.0,85.0,20,18,100
SpareBank 1 Sogn og ...,5.44,3500.0,65.0,0,90.0,30,18,100
Evje og Hornnes Spar...,5.4,0,60.0,1000.0,90.0,30,18,100
Sparebanken Øst,5.24,0.0,75.0,0.0,90.0,30,18,34
Flekkefjord Spareban...,6.4,2750.0,50.0,750.0,90.0,30,18,100
Romerike Sparebank,5.7,1500.0,70.0,0.0,85.0,30,18,100
Sparebanken Narvik,6.29,2000.0,35.0,500.0,75.0,30,18,100
SpareBank 1 Sogn og ...,5.69,3500.0,65.0,0,90.0,25,18,100
Sparebanken Øst,5.33,2990.0,75.0,1250.0,90.0,30,18,100
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,85.0,30,34,100
SpareBank 1 Østfold ...,6.34,3000.0,60.0,0.0,85.0,30,34,100
SpareBank 1 Sogn og ...,5.44,3500.0,65.0,0,90.0,30,18,33
Sparebanken Øst,5.28,0.0,75.0,0,90.0,30,18,100
SpareBank 1 Sogn og ...,5.69,3500.0,65.0,0,90.0,30,18,100
Sparebanken Øst,5.49,2990.0,75.0,1250.0,90.0,30,18,34
Handelsbanken AB NUF,4.89,0.0,45.0,0.0,85.0,30,18,100
Sparebanken Vest,5.14,3590.0,69.0,0.0,85.0,30,18,100
Handelsbanken AB NUF,4.94,0.0,45.0,0.0,85.0,30,18,100
Sparebanken Vest,5.19,3590.0,69.0,0.0,85.0,30,18,100
Handelsbanken AB NUF,4.99,0.0,45.0,0.0,85.0,30,18,100
Spareskillingsbanken,5.49,2500.0,65.0,1000.0,90.0,30,18,33
Handelsbanken AB NUF,4.94,0.0,45.0,0.0,85.0,30,18,100
Sparebanken Vest,6.5,3590.0,0.0,0.0,60.0,25,18,100
Sparebanken Vest,5.09,3590.0,69.0,0.0,85.0,30,18,100
Fana Sparebank,5.4,1500.0,0.0,500.0,50.0,30,18,100
Handelsbanken AB NUF,4.89,0.0,45.0,0,85.0,30,18,100
Sparebanken Vest,9.55,0,0.0,0.0,100.0,1,18,100
Fana Sparebank,6.3,1500.0,50.0,500.0,90.0,30,18,100
Fana Sparebank,5.45,0.0,0.0,0.0,85.0,30,18,33
Handelsbanken AB NUF,4.94,0.0,45.0,0,85.0,30,18,100
Spareskillingsbanken,5.55,2500.0,65.0,1000.0,90.0,30,18,33
Fana Sparebank,6.2,1500.0,50.0,500.0,90.0,30,18,100
Handelsbanken AB NUF,4.99,0.0,45.0,0,85.0,30,18,100
Aurskog Sparebank,7.85,3000.0,75.0,3000.0,80.0,1,18,100
Sparebanken Vest,6.65,3590.0,69.0,0.0,75.0,30,18,100
Romerike Sparebank,5.7,3500.0,70.0,0.0,90.0,30,18,34
Handelsbanken AB NUF,4.94,0.0,45.0,0,85.0,30,18,100
Handelsbanken AB NUF,4.89,0.0,45.0,0.0,85.0,30,18,100
Romsdal Sparebank,5.8,0,65.0,1000.0,90.0,30,18,100
